cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,-0.0027,0.0006,100.0,642.00,1582.88,1399.92,554.54,2388.02,9060.88,47.38,522.55,2387.98,8147.17,8.3468,392,38.82,23.3876
2,-0.0029,0.0002,100.0,642.35,1589.01,1398.46,554.11,2387.96,9063.16,47.21,521.85,2388.01,8146.58,8.4159,390,39.00,23.3793
3,0.0008,0.0001,100.0,642.69,1590.16,1398.40,554.39,2387.99,9057.29,47.16,522.34,2388.05,8144.60,8.4444,391,39.20,23.3390
4,-0.0026,0.0005,100.0,641.76,1583.37,1389.66,553.59,2387.99,9064.94,47.19,522.03,2388.00,8147.98,8.3986,392,38.97,23.3931
5,0.0020,0.0005,100.0,642.54,1591.71,1403.84,554.51,2388.01,9062.58,47.38,522.04,2388.00,8142.07,8.4332,391,39.11,23.3904
6,-0.0032,-0.0001,100.0,641.98,1592.68,1396.83,554.44,2388.00,9061.77,47.40,522.30,2387.98,8145.16,8.4348,392,38.83,23.3659
7,0.0009,0.0003,100.0,642.06,1583.81,1395.99,553.65,2388.02,9063.44,47.29,522.50,2388.09,8140.98,8.4034,392,38.97,23.4343
8,0.0035,0.0004,100.0,642.06,1583.40,1402.21,554.12,2388.03,9064.77,47.13,522.02,2388.02,8138.82,8.3913,392,38.89,23.3488
9,-0.0012,-0.0001,100.0,641.68,1587.24,1405.59,553.93,2388.04,9061.31,47.28,522.36,2388.04,8145.24,8.4326,393,38.96,23.4282
10,-0.0031,0.0007,100.0,642.24,1584.60,1401.89,554.06,2388.06,9056.59,47.27,522.30,2388.05,8142.45,8.3981,391,38.94,23.4429
11,-0.0004,0.0006,100.0,642.08,1589.42,1396.55,554.76,2388.02,9069.76,47.23,522.59,2387.98,8150.18,8.4049,391,38.97,23.3776
12,-0.0004,0.0004,100.0,642.18,1588.16,1403.47,554.32,2388.03,9067.01,47.33,522.33,2388.07,8147.46,8.3946,392,39.10,23.3770
13,-0.0023,0.0005,100.0,642.81,1585.60,1393.80,554.60,2387.99,9065.86,47.44,522.34,2388.04,8149.42,8.4286,392,38.95,23.4127
14,-0.0016,0.0007,100.0,642.10,1593.79,1396.91,553.99,2388.06,9068.61,47.27,521.95,2388.02,8151.12,8.4050,393,38.96,23.3919
15,-0.0018,0.0002,100.0,642.13,1589.31,1401.61,553.48,2388.03,9060.41,47.26,521.32,2388.03,8145.04,8.3756,391,38.97,23.3813
16,-0.0011,0.0005,100.0,642.53,1578.82,1399.52,554.20,2388.06,9063.53,47.27,522.22,2388.02,8144.46,8.4132,394,38.88,23.3748
17,0.0001,0.0005,100.0,642.27,1582.21,1400.82,554.34,2388.02,9057.42,47.35,522.27,2388.00,8141.50,8.4239,392,38.81,23.3975
18,-0.0025,-0.0003,100.0,642.18,1584.53,1398.85,554.12,2388.04,9058.43,47.22,522.34,2388.07,8141.75,8.4074,392,38.89,23.3051
19,-0.0009,0.0003,100.0,642.38,1585.19,1403.01,554.07,2388.04,9066.14,47.11,521.76,2388.09,8144.72,8.4026,392,38.99,23.3975
20,0.0006,-0.0002,100.0,642.47,1590.47,1402.28,554.83,2387.96,9067.08,47.43,522.19,2388.02,8139.80,8.3919,393,38.98,23.3251
