cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,0.0018,-0.0003,100.0,641.82,1587.44,1400.17,554.43,2388.00,9055.79,47.35,522.15,2388.04,8137.62,8.4068,392,38.84,23.4836
2,0.0017,-0.0002,100.0,642.46,1587.02,1400.57,554.32,2388.04,9068.76,47.33,522.40,2388.09,8144.79,8.4068,392,38.96,23.3865
3,-0.0015,-0.0001,100.0,642.27,1584.48,1399.93,553.84,2388.02,9058.35,47.20,522.55,2387.99,8143.59,8.4092,392,39.01,23.4362
4,-0.0037,-0.0001,100.0,642.31,1584.94,1402.02,554.67,2388.02,9061.39,47.27,521.83,2388.02,8145.47,8.4322,392,38.84,23.3513
5,-0.0042,-0.0005,100.0,642.12,1578.93,1399.48,553.94,2388.01,9056.11,47.18,521.69,2388.03,8139.92,8.4355,393,39.14,23.3293
6,-0.0011,-0.0005,100.0,642.19,1588.18,1401.68,553.63,2388.02,9058.23,47.45,522.14,2388.03,8141.03,8.4110,392,38.86,23.4299
7,-0.0032,-0.0000,100.0,642.43,1588.90,1401.81,554.21,2388.05,9062.25,47.17,521.96,2388.06,8141.87,8.4296,394,38.88,23.4498
8,0.0015,-0.0004,100.0,642.26,1588.48,1402.43,554.02,2388.05,9058.70,47.39,522.17,2388.08,8141.73,8.4133,392,38.89,23.3647
9,-0.0021,-0.0004,100.0,641.57,1585.23,1408.18,554.72,2388.04,9064.87,47.25,522.24,2388.05,8138.47,8.3966,393,39.00,23.3596
10,0.0029,-0.0005,100.0,642.39,1586.31,1400.64,554.20,2388.04,9059.51,47.28,522.66,2388.05,8142.28,8.3925,392,39.13,23.3207
11,-0.0046,0.0004,100.0,642.01,1580.86,1408.55,554.42,2388.01,9054.28,47.33,521.96,2388.06,8139.78,8.3960,391,38.94,23.3083
12,0.0007,-0.0005,100.0,641.83,1589.26,1406.92,553.80,2388.05,9057.01,47.36,522.02,2388.00,8136.71,8.3916,392,39.17,23.3521
13,-0.0020,0.0000,100.0,642.18,1584.43,1403.23,554.15,2387.97,9051.41,47.21,522.34,2388.03,8140.44,8.3877,392,38.95,23.3709
14,-0.0001,0.0002,100.0,642.34,1591.29,1403.67,554.34,2388.02,9062.92,47.49,522.06,2388.07,8139.82,8.4062,392,39.06,23.3880
15,-0.0009,-0.0004,100.0,642.29,1591.32,1401.34,555.12,2388.01,9055.99,47.50,522.40,2388.03,8140.24,8.3623,392,38.88,23.3763
16,-0.0033,-0.0001,100.0,642.31,1591.52,1398.68,554.46,2388.05,9057.01,47.52,522.21,2388.03,8141.75,8.4556,391,38.95,23.2825
17,0.0031,-0.0000,100.0,642.37,1585.91,1399.72,553.86,2388.06,9057.77,47.28,521.95,2388.06,8138.63,8.3976,392,38.93,23.3542
18,-0.0023,-0.0003,100.0,642.71,1589.06,1405.90,554.28,2388.07,9060.13,47.33,521.58,2388.06,8145.60,8.3885,389,38.75,23.3325
19,-0.0011,-0.0002,100.0,643.02,1588.82,1402.03,554.16,2388.06,9064.61,47.42,521.74,2388.07,8138.81,8.4467,392,38.93,23.3266
20,0.0006,0.0001,100.0,642.31,1581.42,1398.00,553.83,2388.01,9053.78,47.41,522.41,2388.02,8139.82,8.4209,393,38.89,23.2519
21,0.0016,-0.0001,100.0,642.25,1583.57,1400.04,554.19,2388.06,9054.94,47.13,522.09,2388.07,8137.18,8.4176,392,38.91,23.4113
22,0.0008,0.0002,100.0,642.19,1592.69,1404.83,553.45,2388.07,9065.94,47.17,522.12,2388.04,8138.55,8.3919,393,38.87,23.4156
