cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,0.0004,0.0004,100.0,642.66,1592.17,1406.54,553.81,2388.06,9060.32,47.37,521.72,2388.07,8141.35,8.4238,391,39.03,23.3803
2,-0.0005,0.0004,100.0,642.76,1592.19,1405.10,553.87,2388.02,9062.35,47.34,521.70,2388.05,8141.10,8.4651,391,39.09,23.3065
3,0.0009,0.0000,100.0,642.36,1587.94,1401.43,553.70,2388.09,9052.21,47.40,521.72,2388.07,8140.82,8.4184,392,38.89,23.2586
4,0.0030,-0.0002,100.0,642.33,1583.46,1396.01,553.95,2388.06,9065.83,47.46,522.14,2388.05,8139.83,8.4587,393,38.86,23.3118
5,0.0040,0.0000,100.0,642.42,1583.97,1407.85,552.98,2388.06,9064.72,47.29,521.68,2388.04,8144.59,8.4101,391,38.88,23.3549
6,-0.0025,0.0002,100.0,642.78,1587.16,1400.89,553.79,2388.02,9060.06,47.33,521.83,2387.99,8137.57,8.4123,394,38.79,23.3875
7,0.0005,0.0000,100.0,642.79,1587.19,1404.96,553.39,2387.97,9061.87,47.41,521.61,2388.08,8139.99,8.4366,393,38.89,23.3354
8,-0.0033,-0.0004,100.0,641.99,1585.24,1404.05,553.81,2388.09,9064.53,47.26,521.87,2388.02,8141.27,8.4309,393,38.91,23.3652
9,-0.0021,0.0005,100.0,642.35,1590.95,1403.37,553.98,2388.06,9062.29,47.46,522.05,2388.05,8143.27,8.4202,393,38.99,23.4417
10,0.0016,0.0002,100.0,642.14,1583.61,1404.74,554.50,2388.06,9056.67,47.46,521.71,2388.05,8142.53,8.4333,393,38.88,23.4894
11,0.0025,0.0004,100.0,642.20,1589.02,1403.93,553.50,2388.03,9058.54,47.37,522.44,2388.06,8149.39,8.4249,390,38.95,23.3707
12,0.0011,-0.0004,100.0,642.71,1584.95,1398.69,553.99,2388.09,9064.08,47.56,522.24,2388.05,8145.13,8.3895,391,39.08,23.4316
13,0.0003,-0.0002,100.0,642.90,1585.62,1402.65,553.80,2388.02,9054.54,47.30,521.99,2388.02,8136.06,8.4047,392,39.10,23.4806
14,-0.0014,0.0005,100.0,642.40,1588.71,1397.60,553.43,2388.03,9063.96,47.33,522.02,2388.07,8140.04,8.3785,393,39.03,23.3578
15,-0.0015,0.0005,100.0,642.34,1576.92,1407.32,554.46,2388.04,9060.73,47.43,522.18,2388.05,8136.41,8.4025,392,38.98,23.3835
16,-0.0012,0.0005,100.0,642.21,1588.01,1401.87,553.12,2388.10,9061.16,47.28,522.05,2388.04,8144.13,8.4183,394,38.79,23.3927
17,-0.0003,-0.0000,100.0,642.29,1590.86,1411.03,554.01,2388.06,9055.08,47.31,522.29,2388.02,8134.72,8.3983,392,38.88,23.3968
18,0.0019,0.0004,100.0,642.11,1582.54,1401.28,553.28,2387.99,9057.96,47.32,521.74,2388.08,8141.91,8.4200,393,39.08,23.3846
19,-0.0013,0.0002,100.0,642.56,1583.47,1403.36,554.10,2388.06,9061.54,47.30,522.09,2388.02,8141.43,8.4178,394,38.92,23.4202
20,-0.0018,-0.0002,100.0,642.18,1584.23,1400.96,554.07,2388.08,9053.07,47.47,522.08,2388.04,8134.64,8.4304,393,38.91,23.4033
21,-0.0011,-0.0004,100.0,642.38,1584.91,1400.58,554.19,2388.02,9064.48,47.43,521.81,2388.03,8149.29,8.4340,391,38.94,23.2381
22,-0.0023,-0.0000,100.0,642.21,1584.20,1399.53,554.27,2388.09,9063.66,47.38,521.90,2388.07,8143.95,8.4023,393,38.87,23.3644
23,-0.0008,0.0000,100.0,642.53,1582.29,1403.04,553.94,2388.10,9055.24,47.32,521.79,2388.02,8142.88,8.4542,392,39.01,23.3096
24,-0.0027,-0.0001,100.0,642.49,1593.80,1403.73,554.91,2388.06,9057.92,47.37,521.96,2388.10,8140.38,8.4249,394,38.86,23.2957
25,0.0034,-0.0003,100.0,642.61,1592.59,1405.02,553.81,2387.99,9063.98,47.20,521.40,2388.07,8139.23,8.4186,392,39.01,23.3692
26,-0.0026,-0.0005,100.0,642.13,1591.65,1408.96,553.94,2388.12,9061.58,47.23,522.19,2388.06,8139.70,8.3800,393,38.88,23.4218
27,0.0016,-0.0002,100.0,642.28,1592.24,1400.94,554.18,2388.08,9055.16,47.55,521.84,2388.07,8142.62,8.3849,393,38.88,23.3656
28,0.0010,-0.0003,100.0,642.70,1587.96,1398.43,553.90,2388.07,9055.86,47.18,521.31,2388.03,8138.43,8.4050,392,38.84,23.2963
29,0.0021,0.0002,100.0,642.32,1586.70,1403.01,553.79,2388.13,9059.19,47.50,521.80,2388.08,8141.38,8.4441,392,39.11,23.3461
30,-0.0014,0.0001,100.0,642.11,1582.68,1401.15,554.36,2388.04,9053.42,47.30,521.56,2388.07,8140.30,8.4486,393,39.08,23.3706
31,0.0029,-0.0002,100.0,642.25,1590.41,1407.87,554.13,2388.04,9063.55,47.46,522.25,2388.08,8142.00,8.4409,392,38.79,23.2904
32,-0.0024,0.0005,100.0,642.06,1587.18,1409.80,553.27,2388.08,9059.79,47.35,521.79,2388.04,8138.55,8.4363,394,38.80,23.3447
33,-0.0027,0.0005,100.0,643.34,1576.30,1407.89,553.28,2388.08,9061.26,47.17,522.14,2388.06,8144.98,8.4585,393,38.82,23.2782
34,0.0016,0.0001,100.0,642.55,1588.76,1401.15,553.68,2388.04,9058.68,47.51,522.07,2388.00,8134.38,8.4438,394,38.81,23.2742
35,0.0024,-0.0002,100.0,642.41,1585.95,1404.43,553.11,2388.04,9058.95,47.37,522.14,2388.09,8138.06,8.4251,391,38.90,23.2889
36,0.0025,-0.0003,100.0,642.41,1587.00,1397.27,553.80,2388.05,9063.27,47.32,521.77,2388.07,8138.50,8.4164,392,38.88,23.2890
37,-0.0014,0.0002,100.0,641.80,1587.91,1406.46,553.94,2388.06,9063.18,47.33,521.62,2388.00,8140.33,8.3859,393,38.97,23.3885
38,0.0018,0.0001,100.0,642.58,1590.36,1405.77,554.17,2388.09,9063.79,47.48,521.90,2388.04,8142.03,8.3958,392,38.98,23.3324
39,-0.0024,-0.0002,100.0,642.44,1590.25,1403.70,553.88,2388.02,9059.10,47.41,521.88,2388.10,8136.43,8.4178,392,38.99,23.3180
40,0.0010,0.0002,100.0,643.08,1583.28,1404.16,553.92,2388.09,9056.52,47.42,522.13,2388.07,8136.99,8.4031,392,38.78,23.3266
41,0.0014,0.0001,100.0,642.24,1587.60,1404.83,553.63,2388.03,9060.08,47.57,522.33,2388.04,8141.34,8.3773,392,38.86,23.3648
42,0.0007,0.0001,100.0,642.16,1589.01,1406.75,553.87,2388.09,9051.30,47.44,522.15,2388.09,8143.62,8.4220,393,38.81,23.3224
43,0.0017,-0.0003,100.0,642.50,1589.16,1407.78,553.64,2388.13,9060.52,47.48,521.96,2388.10,8137.93,8.4159,393,39.08,23.3023
44,0.0003,0.0000,100.0,642.48,1582.38,1401.27,553.10,2388.10,9059.71,47.28,522.17,2388.03,8140.58,8.4357,391,38.96,23.2857
45,0.0041,-0.0004,100.0,642.22,1586.63,1403.71,553.64,2388.03,9066.51,47.39,522.08,2388.06,8139.92,8.4120,392,38.94,23.3444
46,-0.0002,0.0003,100.0,642.23,1589.70,1401.96,553.67,2388.09,9054.05,47.45,522.32,2388.07,8136.85,8.4417,393,38.95,23.3951
47,-0.0007,0.0002,100.0,641.64,1590.71,1406.92,554.13,2388.07,9059.11,47.42,522.52,2388.12,8140.39,8.4279,392,38.89,23.2370
48,0.0006,0.0002,100.0,641.93,1585.95,1403.40,554.90,2388.09,9063.63,47.61,521.37,2388.05,8141.85,8.4026,393,39.12,23.4156
49,0.0002,0.0001,100.0,642.35,1584.66,1408.38,553.78,2388.04,9066.27,47.42,522.21,2388.08,8142.14,8.4551,392,38.99,23.2812
50,-0.0014,-0.0000,100.0,642.95,1593.03,1408.64,553.58,2388.07,9055.13,47.58,521.42,2388.09,8144.92,8.4153,393,38.90,23.3186
51,0.0020,-0.0002,100.0,642.69,1588.75,1408.80,553.36,2388.06,9062.15,47.47,521.44,2388.07,8137.83,8.4376,393,38.82,23.3291
52,-0.0014,-0.0003,100.0,642.53,1590.36,1405.97,553.91,2388.08,9060.41,47.54,521.39,2388.06,8136.82,8.4473,393,38.95,23.2603
53,0.0049,-0.0004,100.0,642.24,1588.69,1406.23,553.40,2388.02,9061.72,47.62,522.24,2388.04,8140.19,8.4282,391,38.92,23.3249
54,0.0014,-0.0002,100.0,642.03,1585.19,1405.33,554.05,2388.06,9064.69,47.18,521.97,2388.09,8141.30,8.4272,394,38.86,23.2602
55,-0.0053,-0.0004,100.0,643.23,1588.08,1404.53,553.98,2388.04,9060.13,47.41,521.88,2388.08,8141.50,8.3903,390,38.89,23.3146
56,0.0008,0.0003,100.0,642.38,1582.18,1404.65,553.37,2388.13,9061.09,47.56,521.88,2388.05,8143.95,8.4089,393,38.90,23.2834
57,-0.0012,0.0001,100.0,642.34,1582.93,1401.61,554.11,2388.08,9060.19,47.26,521.69,2388.08,8142.66,8.4054,394,38.95,23.3392
58,-0.0051,-0.0000,100.0,642.60,1595.07,1405.53,553.30,2388.07,9057.95,47.60,521.90,2388.13,8138.11,8.4243,391,39.18,23.3734
59,-0.0021,0.0001,100.0,642.82,1589.41,1405.59,553.42,2388.12,9057.66,47.57,521.85,2388.08,8142.22,8.4143,393,38.88,23.2824
60,0.0017,0.0001,100.0,642.24,1588.03,1407.76,553.14,2388.07,9055.79,47.39,521.35,2388.10,8142.63,8.4126,393,39.03,23.2547
61,-0.0014,-0.0002,100.0,642.36,1590.16,1415.83,553.34,2388.04,9062.02,47.40,521.06,2388.07,8143.23,8.4478,392,38.82,23.3225
62,-0.0010,-0.0004,100.0,642.83,1587.79,1400.74,554.01,2388.05,9058.14,47.48,521.66,2388.08,8136.77,8.4353,393,39.05,23.2751
63,0.0058,-0.0004,100.0,642.10,1583.25,1406.41,553.53,2388.12,9060.08,47.55,521.59,2388.05,8139.30,8.4347,393,38.86,23.3463
64,-0.0034,0.0002,100.0,642.98,1593.39,1412.30,553.87,2388.08,9064.52,47.52,521.53,2388.08,8143.92,8.4206,393,38.91,23.2306
65,-0.0016,0.0004,100.0,642.56,1578.51,1408.61,554.03,2388.05,9054.75,47.55,521.35,2388.06,8139.03,8.4261,391,38.82,23.3705
66,-0.0011,0.0000,100.0,642.85,1594.94,1401.18,553.58,2388.07,9057.36,47.45,521.17,2388.06,8148.83,8.4059,393,39.02,23.3473
67,0.0008,0.0002,100.0,642.96,1585.99,1408.45,553.52,2388.06,9068.83,47.49,521.22,2388.04,8143.98,8.4287,392,38.93,23.2801
68,-0.0012,-0.0005,100.0,642.56,1586.93,1403.44,553.82,2388.11,9060.02,47.59,521.92,2388.09,8139.57,8.4172,392,38.91,23.4105
69,-0.0028,0.0005,100.0,641.94,1587.07,1403.04,553.80,2388.04,9060.78,47.24,521.55,2388.08,8137.73,8.3922,390,38.78,23.4190
70,0.0042,0.0004,100.0,642.63,1588.69,1402.38,553.86,2388.08,9049.63,47.63,521.93,2388.08,8141.67,8.4089,391,39.04,23.3655
71,0.0020,-0.0002,100.0,642.63,1585.20,1407.47,553.28,2388.07,9062.41,47.46,520.90,2388.06,8141.24,8.4490,394,38.97,23.2519
72,-0.0001,0.0003,100.0,642.24,1591.69,1410.35,553.58,2388.04,9064.30,47.57,521.91,2388.10,8144.15,8.4283,392,39.00,23.2204
73,-0.0037,-0.0002,100.0,642.95,1586.30,1406.65,553.14,2388.05,9054.42,47.48,521.72,2388.04,8136.74,8.4621,393,38.95,23.3472
74,-0.0033,-0.0004,100.0,642.44,1590.68,1414.31,552.73,2388.07,9062.00,47.23,522.01,2388.04,8142.12,8.4397,393,38.71,23.2353
75,-0.0017,0.0001,100.0,642.28,1594.49,1400.86,554.09,2388.05,9057.66,47.42,521.39,2388.10,8140.01,8.3860,391,38.94,23.2892
76,0.0042,-0.0003,100.0,642.75,1586.64,1407.12,553.33,2388.11,9053.92,47.46,521.76,2388.05,8138.13,8.4428,394,38.74,23.3375
77,-0.0006,0.0001,100.0,642.44,1588.96,1407.63,553.87,2388.11,9054.21,47.55,521.16,2388.04,8146.65,8.4408,393,38.79,23.2781
78,0.0002,-0.0004,100.0,643.17,1591.61,1409.43,553.62,2388.08,9066.13,47.51,521.76,2388.07,8141.07,8.4429,393,38.81,23.2920
79,-0.0010,-0.0004,100.0,642.29,1585.14,1407.00,553.90,2388.08,9069.47,47.55,520.90,2388.08,8142.78,8.4691,392,38.83,23.3097
