cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,0.0009,-0.0002,100.0,642.66,1574.94,1402.56,554.68,2388.02,9071.43,47.21,522.54,2388.03,8149.93,8.3864,391,39.18,23.4691
2,-0.0018,0.0004,100.0,641.89,1587.37,1399.22,554.82,2387.98,9072.49,47.23,521.87,2387.99,8146.81,8.3596,393,38.98,23.4814
3,0.0021,0.0003,100.0,641.61,1580.34,1404.76,554.93,2388.04,9065.21,47.28,522.52,2388.00,8148.46,8.3811,391,39.17,23.3284
4,-0.0042,0.0003,100.0,641.88,1592.14,1400.88,555.36,2388.03,9065.71,47.28,522.10,2387.99,8146.47,8.3657,391,39.05,23.4411
5,0.0017,0.0000,100.0,641.87,1581.40,1405.83,555.31,2387.96,9071.81,47.20,522.03,2387.94,8146.16,8.3856,392,38.92,23.3387
6,0.0013,-0.0002,100.0,642.07,1581.22,1398.71,555.34,2388.03,9070.95,47.16,522.73,2388.03,8151.43,8.3655,390,38.91,23.4404
7,0.0018,-0.0004,100.0,641.71,1588.90,1399.99,554.51,2388.00,9065.04,47.22,522.45,2388.02,8144.40,8.3678,391,39.12,23.3932
8,-0.0000,-0.0003,100.0,642.13,1586.75,1401.19,555.21,2387.96,9069.48,47.16,523.14,2387.98,8149.37,8.3844,392,39.11,23.5353
9,0.0016,0.0004,100.0,642.13,1580.76,1393.43,554.99,2388.00,9068.36,47.02,522.27,2388.04,8150.77,8.3917,391,39.19,23.3313
10,-0.0008,0.0005,100.0,642.14,1584.02,1390.20,554.75,2387.95,9064.18,47.12,522.66,2387.99,8144.91,8.3964,390,38.97,23.4784
11,-0.0040,0.0003,100.0,642.89,1587.49,1398.78,554.97,2388.02,9069.39,47.15,522.66,2388.01,8145.10,8.3782,392,39.01,23.4462
12,0.0012,-0.0004,100.0,642.03,1588.38,1391.44,554.72,2387.96,9055.08,47.11,522.27,2387.98,8144.81,8.3672,391,38.99,23.4348
13,0.0027,0.0001,100.0,642.14,1580.63,1392.88,554.74,2388.03,9062.35,47.06,522.56,2388.00,8145.28,8.3972,391,39.05,23.3536
14,0.0007,0.0000,100.0,642.36,1585.22,1387.15,555.46,2387.98,9065.35,47.14,522.44,2387.96,8150.05,8.3864,391,39.01,23.4348
15,-0.0005,0.0002,100.0,641.62,1585.83,1399.45,554.08,2387.97,9068.32,47.07,523.04,2387.97,8145.67,8.4198,391,39.02,23.4723
16,0.0016,-0.0001,100.0,641.53,1587.84,1402.14,554.68,2388.03,9060.07,47.15,522.34,2387.95,8140.71,8.3635,392,39.11,23.3443
17,0.0010,0.0005,100.0,642.15,1585.88,1398.01,554.30,2387.98,9071.40,47.10,522.63,2388.01,8144.75,8.3861,392,38.98,23.3759
18,0.0016,0.0001,100.0,642.37,1584.08,1394.23,555.38,2388.03,9065.20,47.41,522.53,2388.03,8143.84,8.4064,392,39.15,23.4562
19,0.0049,-0.0000,100.0,642.25,1584.44,1388.36,554.25,2387.98,9057.91,47.00,521.97,2387.89,8143.77,8.4145,392,39.04,23.4024
20,0.0008,-0.0003,100.0,641.95,1589.01,1406.55,554.60,2387.98,9070.25,47.43,522.58,2387.95,8145.14,8.3996,392,39.01,23.4278
21,0.0022,0.0005,100.0,641.75,1581.61,1392.92,554.41,2387.99,9066.66,47.18,522.50,2388.02,8145.95,8.4201,391,39.16,23.3624
22,0.0000,0.0000,100.0,641.48,1588.27,1397.00,554.99,2387.94,9073.44,47.14,522.39,2387.99,8147.78,8.3824,391,39.08,23.4324
23,-0.0029,0.0005,100.0,642.10,1586.20,1396.05,554.00,2388.02,9064.02,47.23,523.00,2387.92,8145.98,8.3976,392,39.01,23.4695
24,-0.0007,0.0002,100.0,641.86,1589.65,1398.50,555.02,2387.99,9056.25,47.12,522.46,2387.94,8145.23,8.3761,392,39.06,23.3341
25,-0.0004,0.0002,100.0,642.10,1583.90,1401.66,554.68,2387.95,9064.61,47.12,522.54,2387.91,8147.86,8.3628,392,39.07,23.4163
26,-0.0011,0.0004,100.0,642.59,1586.31,1387.99,554.98,2387.97,9059.68,47.09,522.49,2387.94,8143.40,8.3868,392,39.29,23.4472
27,-0.0020,0.0004,100.0,641.61,1577.04,1398.76,554.63,2388.03,9068.84,47.15,522.24,2388.03,8149.28,8.4180,391,39.10,23.4292
28,0.0033,-0.0003,100.0,642.05,1580.31,1393.92,554.64,2387.93,9071.15,47.14,522.71,2387.98,8151.37,8.3875,391,39.01,23.4333
29,0.0016,-0.0002,100.0,642.46,1588.65,1398.76,554.70,2388.06,9064.11,47.07,522.87,2387.97,8152.23,8.4016,392,39.01,23.4501
30,-0.0017,0.0005,100.0,641.82,1587.58,1400.13,554.17,2388.00,9067.95,47.28,522.44,2387.97,8149.23,8.3907,392,39.09,23.5575
31,0.0024,-0.0001,100.0,642.04,1586.39,1395.93,554.73,2387.98,9067.04,47.06,522.57,2388.03,8153.03,8.4112,391,39.13,23.3258
32,-0.0004,-0.0003,100.0,642.14,1581.94,1399.20,554.81,2388.02,9064.15,47.19,522.33,2387.96,8145.74,8.3755,391,39.10,23.4081
33,-0.0031,-0.0002,100.0,642.30,1584.43,1394.72,554.34,2387.94,9051.82,47.11,522.44,2388.05,8148.42,8.4189,392,38.91,23.2896
34,0.0020,-0.0002,100.0,642.56,1593.98,1396.84,554.84,2387.98,9063.55,47.16,522.52,2388.03,8145.82,8.4005,392,39.03,23.4062
35,0.0009,-0.0004,100.0,642.10,1577.95,1399.01,554.34,2387.97,9058.07,47.22,522.73,2388.03,8139.35,8.3995,391,39.14,23.4209
36,-0.0016,0.0004,100.0,641.77,1582.94,1392.42,554.51,2388.03,9065.12,47.20,522.27,2387.97,8148.73,8.3887,390,39.05,23.3437
37,-0.0004,0.0004,100.0,642.31,1580.47,1399.99,554.93,2387.97,9069.99,47.33,522.48,2388.00,8153.79,8.3669,390,39.27,23.4889
38,-0.0011,0.0000,100.0,642.52,1575.85,1395.56,554.66,2388.02,9063.03,47.15,522.51,2387.96,8148.50,8.3822,392,38.90,23.4411
39,-0.0020,-0.0000,100.0,642.35,1585.40,1396.47,553.87,2388.00,9070.25,47.32,522.86,2387.97,8150.71,8.4151,392,39.07,23.4529
40,0.0015,0.0003,100.0,642.29,1590.01,1398.20,554.28,2387.97,9065.75,47.25,522.14,2387.95,8146.91,8.3707,393,38.81,23.4194
41,0.0014,-0.0003,100.0,641.79,1574.28,1399.86,555.00,2388.01,9061.06,47.13,522.06,2388.04,8152.24,8.4091,392,39.08,23.3173
42,-0.0002,0.0001,100.0,642.12,1587.66,1396.79,554.44,2387.98,9060.80,47.13,522.49,2388.03,8144.67,8.3703,391,39.05,23.4857
43,0.0012,-0.0002,100.0,641.94,1577.81,1396.97,554.75,2388.00,9068.12,47.20,522.03,2387.93,8145.10,8.3909,392,38.92,23.3854
44,-0.0000,0.0000,100.0,642.16,1583.93,1390.69,554.79,2388.00,9063.31,47.22,523.01,2387.98,8148.79,8.3512,392,39.22,23.4610
45,0.0041,-0.0001,100.0,642.64,1581.24,1393.81,554.42,2387.97,9072.09,47.08,522.57,2388.06,8145.47,8.3796,391,38.99,23.4678
46,0.0005,0.0005,100.0,642.17,1583.89,1392.35,553.19,2388.03,9061.51,47.23,522.25,2388.02,8149.48,8.3705,391,39.08,23.3501
