cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,0.0010,0.0003,100.0,642.72,1586.68,1412.08,553.00,2388.12,9046.05,47.50,521.40,2388.14,8119.76,8.4875,394,38.99,23.3285
2,0.0026,-0.0004,100.0,642.70,1583.56,1402.91,553.19,2388.11,9047.41,47.60,521.33,2388.10,8126.76,8.4614,394,38.84,23.3011
3,0.0033,0.0004,100.0,642.21,1595.30,1410.47,553.48,2388.10,9044.19,47.47,521.28,2388.15,8119.80,8.4377,394,38.77,23.2517
4,-0.0031,0.0003,100.0,642.69,1591.58,1419.77,552.80,2388.14,9048.11,47.81,521.61,2388.18,8122.51,8.4501,393,38.65,23.2764
5,0.0056,-0.0003,100.0,642.61,1598.45,1406.45,553.51,2388.15,9046.95,47.74,521.45,2388.11,8129.83,8.4687,393,38.70,23.2646
6,-0.0039,-0.0004,100.0,642.45,1589.77,1412.88,552.56,2388.12,9038.83,47.64,521.79,2388.13,8127.18,8.4356,394,38.86,23.2282
7,-0.0029,0.0003,100.0,642.65,1586.93,1407.83,552.57,2388.13,9042.23,47.63,521.23,2388.12,8126.52,8.4163,394,38.90,23.3892
8,-0.0008,0.0004,100.0,642.73,1589.71,1412.61,552.54,2388.20,9042.78,47.53,521.58,2388.09,8116.03,8.4314,392,38.64,23.2777
9,-0.0019,0.0004,100.0,642.26,1581.47,1402.83,553.51,2388.13,9045.18,47.41,521.84,2388.15,8125.93,8.4391,392,38.87,23.3475
10,0.0017,0.0003,100.0,642.74,1592.88,1412.62,553.05,2388.15,9037.72,47.68,521.29,2388.12,8125.04,8.4606,393,38.70,23.1745
11,-0.0008,0.0002,100.0,641.91,1584.52,1411.98,553.41,2388.13,9048.08,47.73,521.47,2388.12,8126.62,8.4604,393,38.68,23.2326
12,-0.0004,0.0003,100.0,643.26,1589.25,1411.80,552.58,2388.15,9045.31,47.46,521.55,2388.13,8126.44,8.4445,394,38.85,23.2320
13,0.0034,0.0002,100.0,642.59,1589.03,1408.56,552.79,2388.10,9041.25,47.66,521.72,2388.09,8127.69,8.4102,393,38.83,23.3393
14,-0.0001,-0.0005,100.0,642.84,1588.01,1416.32,552.47,2388.16,9043.16,47.49,521.60,2388.14,8119.32,8.4377,393,38.77,23.2011
15,0.0027,-0.0004,100.0,642.89,1590.59,1407.66,553.21,2388.12,9045.87,47.59,521.71,2388.15,8123.76,8.4344,394,38.87,23.3116
16,0.0023,-0.0001,100.0,642.47,1582.67,1409.47,553.44,2388.13,9035.01,47.63,520.90,2388.20,8122.54,8.4759,394,38.91,23.2719
17,-0.0010,-0.0003,100.0,642.72,1586.70,1405.41,553.43,2388.13,9038.86,47.62,521.23,2388.08,8116.33,8.4528,393,38.75,23.2615
18,0.0019,0.0001,100.0,642.72,1590.48,1404.65,553.48,2388.13,9042.96,47.65,520.74,2388.13,8128.88,8.4641,393,38.71,23.2072
19,-0.0035,0.0004,100.0,643.10,1591.50,1410.19,553.38,2388.17,9037.84,47.55,521.20,2388.09,8127.78,8.4611,392,38.90,23.2120
20,-0.0008,-0.0002,100.0,642.95,1583.05,1409.04,553.34,2388.12,9044.56,47.52,520.65,2388.14,8129.89,8.4251,393,38.89,23.3485
21,-0.0007,-0.0004,100.0,643.03,1581.41,1415.23,552.94,2388.16,9039.30,47.62,521.88,2388.17,8128.76,8.4325,394,38.85,23.2753
22,-0.0020,-0.0001,100.0,642.61,1588.87,1406.68,553.14,2388.13,9047.18,47.58,521.78,2388.17,8126.82,8.4156,392,38.86,23.3098
23,-0.0022,-0.0004,100.0,642.44,1592.45,1399.78,553.47,2388.19,9040.67,47.68,521.63,2388.17,8126.88,8.4027,393,38.78,23.3480
24,-0.0008,-0.0003,100.0,642.92,1588.94,1408.61,553.33,2388.14,9047.82,47.56,521.49,2388.16,8118.80,8.4614,393,38.89,23.2806
25,0.0007,0.0005,100.0,642.87,1587.61,1410.40,553.57,2388.07,9045.57,47.65,521.11,2388.15,8127.45,8.4467,393,38.98,23.2960
26,0.0007,-0.0003,100.0,642.97,1591.84,1413.12,552.79,2388.15,9046.35,47.62,521.27,2388.19,8117.92,8.4315,393,38.89,23.2404
27,-0.0008,0.0003,100.0,642.41,1594.06,1411.49,553.78,2388.14,9043.81,47.41,521.34,2388.10,8125.45,8.4477,392,38.72,23.2460
28,-0.0030,-0.0001,100.0,642.98,1592.72,1406.05,552.88,2388.16,9042.85,47.45,520.87,2388.11,8124.95,8.4418,394,38.80,23.3231
29,-0.0004,-0.0005,100.0,642.34,1587.47,1413.28,552.43,2388.11,9045.64,47.72,521.05,2388.10,8122.53,8.4366,394,38.73,23.2670
30,-0.0004,0.0002,100.0,642.69,1593.66,1399.86,552.52,2388.14,9045.99,47.53,521.01,2388.14,8125.85,8.4357,395,38.91,23.2829
31,0.0024,-0.0002,100.0,643.02,1591.58,1407.31,553.42,2388.10,9043.73,47.50,521.72,2388.17,8125.89,8.4711,393,38.77,23.3431
32,0.0007,-0.0003,100.0,642.83,1598.22,1405.75,552.41,2388.17,9042.00,47.48,521.35,2388.12,8124.38,8.4324,392,38.81,23.3267
33,-0.0034,-0.0004,100.0,642.77,1595.63,1414.02,553.06,2388.16,9039.30,47.52,521.07,2388.12,8123.80,8.4457,393,38.75,23.2968
34,0.0001,0.0001,100.0,642.96,1584.00,1407.67,552.25,2388.12,9043.95,47.52,520.87,2388.18,8127.56,8.4487,392,38.69,23.2809
35,0.0002,-0.0000,100.0,642.79,1587.86,1409.11,553.17,2388.17,9045.08,47.55,521.64,2388.16,8124.00,8.4460,395,38.80,23.2598
