cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,-0.0002,0.0004,100.0,642.16,1589.27,1403.48,554.00,2388.06,9049.10,47.31,522.34,2388.09,8133.26,8.3855,391,38.97,23.4065
2,-0.0005,0.0001,100.0,642.18,1586.93,1396.58,553.99,2388.08,9052.76,47.25,521.93,2388.05,8135.43,8.3960,392,39.03,23.3862
3,-0.0003,-0.0005,100.0,642.57,1583.95,1404.91,554.50,2388.01,9049.62,47.36,522.23,2388.06,8129.12,8.3920,391,38.96,23.4118
4,0.0005,0.0001,100.0,642.29,1584.65,1399.92,553.82,2388.14,9059.44,47.33,521.88,2388.03,8136.95,8.4169,391,38.95,23.3597
5,-0.0010,-0.0000,100.0,642.69,1588.69,1398.53,554.29,2388.03,9050.57,47.39,521.55,2388.00,8136.20,8.4388,392,38.98,23.4219
6,0.0022,-0.0001,100.0,642.16,1591.10,1396.14,554.23,2388.04,9056.40,47.32,521.85,2388.07,8138.35,8.3990,392,38.99,23.3106
7,0.0018,-0.0004,100.0,642.15,1584.30,1399.48,553.93,2388.09,9055.02,47.36,522.12,2388.03,8136.63,8.4067,391,39.17,23.3252
8,0.0002,-0.0003,100.0,641.66,1590.82,1400.85,553.96,2388.10,9054.79,47.57,522.12,2387.99,8134.62,8.4079,394,39.12,23.3109
9,0.0003,-0.0003,100.0,642.04,1584.85,1402.82,554.37,2387.98,9049.99,47.38,522.36,2388.07,8136.07,8.4338,392,38.97,23.4638
10,-0.0001,-0.0003,100.0,642.42,1575.81,1407.84,553.92,2388.05,9052.45,47.38,521.72,2388.03,8135.57,8.4376,392,38.90,23.4540
11,-0.0013,-0.0003,100.0,641.94,1584.75,1396.70,554.23,2388.09,9060.60,47.39,522.12,2388.03,8137.70,8.4084,391,39.11,23.3219
12,0.0021,0.0004,100.0,642.21,1584.73,1405.17,554.16,2388.06,9050.67,47.30,521.95,2388.04,8133.36,8.3988,393,39.12,23.4065
13,0.0023,0.0005,100.0,642.53,1592.32,1399.24,553.81,2388.04,9053.45,47.33,521.86,2388.07,8135.80,8.3800,392,39.06,23.4284
14,-0.0006,-0.0000,100.0,641.89,1589.39,1395.80,554.07,2388.02,9047.15,47.24,521.84,2388.08,8131.87,8.3800,391,39.01,23.3035
15,0.0000,0.0004,100.0,642.40,1586.93,1402.99,553.98,2388.06,9046.63,47.34,522.20,2388.10,8135.74,8.3804,392,39.01,23.3661
16,0.0002,-0.0001,100.0,642.63,1589.69,1411.98,553.91,2388.04,9053.56,47.12,521.59,2388.06,8136.15,8.3997,392,39.01,23.3982
17,-0.0026,-0.0001,100.0,642.65,1588.67,1399.03,554.20,2388.01,9060.47,47.31,522.05,2388.04,8143.86,8.3963,392,39.04,23.3638
