cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,-0.0009,-0.0001,100.0,642.06,1590.15,1408.02,553.87,2388.08,9055.18,47.35,521.23,2388.08,8126.75,8.4314,393,38.90,23.3147
2,0.0031,-0.0002,100.0,642.74,1584.08,1413.33,553.53,2388.05,9056.76,47.35,521.24,2388.08,8131.25,8.4829,392,38.70,23.3071
3,0.0023,-0.0001,100.0,642.48,1591.55,1407.27,553.69,2388.05,9050.68,47.35,522.22,2388.10,8129.61,8.4557,394,38.92,23.3058
4,0.0033,-0.0004,100.0,642.15,1587.86,1406.12,553.61,2388.12,9053.92,47.37,521.70,2388.06,8137.89,8.4270,394,38.88,23.3084
5,0.0005,-0.0003,100.0,642.47,1591.80,1407.10,553.60,2388.08,9058.10,47.37,521.75,2388.11,8132.09,8.3875,389,38.85,23.3685
6,-0.0025,0.0003,100.0,642.61,1590.11,1408.48,554.43,2388.10,9055.88,47.40,521.65,2388.04,8133.19,8.4337,390,38.80,23.2820
7,-0.0024,0.0001,100.0,642.87,1584.31,1399.97,553.67,2388.09,9055.37,47.62,521.66,2388.09,8134.64,8.4543,392,38.92,23.3122
8,-0.0022,0.0003,100.0,642.28,1586.09,1408.93,553.73,2388.08,9051.39,47.41,521.24,2388.12,8134.08,8.3887,393,38.80,23.3752
9,-0.0017,0.0004,100.0,642.43,1591.44,1409.82,553.53,2388.05,9044.87,47.47,521.68,2388.07,8133.53,8.4202,395,38.85,23.3325
10,0.0030,-0.0005,100.0,641.98,1588.22,1406.35,553.89,2388.12,9052.39,47.33,521.81,2388.14,8136.24,8.4266,392,38.81,23.3621
11,-0.0024,-0.0004,100.0,643.43,1592.12,1409.24,553.68,2388.09,9052.57,47.40,522.17,2388.06,8138.05,8.4390,392,38.97,23.3675
12,0.0013,0.0001,100.0,642.75,1588.07,1409.32,553.14,2388.05,9056.88,47.72,521.21,2388.10,8132.70,8.4328,393,38.98,23.3678
13,0.0001,0.0002,100.0,642.79,1583.43,1398.87,553.33,2388.10,9047.27,47.65,521.52,2388.06,8138.01,8.4275,393,38.79,23.2779
14,0.0014,-0.0001,100.0,642.22,1587.32,1406.07,553.78,2388.14,9053.55,47.48,521.61,2388.10,8136.08,8.4424,394,38.78,23.3083
15,0.0030,0.0004,100.0,642.49,1592.32,1406.72,553.46,2388.13,9056.80,47.50,521.76,2388.07,8132.01,8.4421,392,38.73,23.3599
16,-0.0010,-0.0000,100.0,642.73,1588.38,1413.98,553.78,2388.06,9047.99,47.46,521.65,2388.08,8133.74,8.4465,392,38.72,23.3539
17,-0.0003,-0.0000,100.0,642.56,1586.96,1399.33,554.31,2388.12,9059.26,47.37,521.40,2388.13,8134.10,8.4139,392,38.98,23.3481
18,0.0015,0.0002,100.0,641.79,1591.12,1401.89,553.73,2388.06,9064.59,47.50,522.02,2388.03,8132.53,8.4360,393,39.10,23.3561
19,0.0010,0.0003,100.0,642.79,1585.56,1405.83,553.66,2388.06,9049.00,47.61,521.89,2388.00,8134.42,8.4499,393,38.85,23.3607
20,-0.0006,-0.0001,100.0,642.43,1594.53,1402.15,553.55,2388.11,9052.97,47.52,521.22,2388.09,8130.00,8.4420,395,38.83,23.3278
21,-0.0019,-0.0004,100.0,642.76,1585.40,1411.95,553.76,2388.11,9046.28,47.37,521.45,2388.08,8132.02,8.4450,393,38.89,23.2928
22,-0.0014,-0.0001,100.0,642.57,1589.93,1409.23,553.52,2388.09,9051.14,47.53,521.65,2388.03,8134.71,8.4154,394,38.94,23.3473
23,-0.0023,0.0000,100.0,642.28,1593.82,1410.48,553.28,2388.06,9050.38,47.41,521.64,2388.09,8138.91,8.4193,394,38.90,23.4066
24,0.0012,0.0004,100.0,642.83,1589.33,1407.11,553.76,2388.06,9057.95,47.43,521.73,2388.10,8133.54,8.4233,392,38.78,23.2919
25,0.0019,0.0003,100.0,642.03,1583.81,1403.70,553.44,2388.16,9056.21,47.49,521.19,2388.19,8134.19,8.4292,393,38.98,23.2907
26,0.0007,0.0002,100.0,642.50,1593.87,1404.94,553.58,2388.09,9051.40,47.37,521.67,2388.09,8134.52,8.4243,391,38.87,23.3926
